종목코드,종목명,시장,현재가,20일평균,상승률,거래량
189300,인텔리안테크,KOSDAQ,46550,42340,9.94,49272
053030,바이넥스,KOSDAQ,15270,14455,5.63,178557
000650,천일고속,KOSPI,361500,199785,80.94,177240
050890,쏠리드,KOSDAQ,8200,7549,8.62,2328678
126340,비나텍,KOSDAQ,74900,62125,20.56,134783
455900,엔젤로보틱스,KOSDAQ,31300,29657,5.54,123437
099440,스맥,KOSDAQ,7180,5316,35.06,4816463
005610,SPC삼립,KOSPI,54800,51985,5.42,6352
033240,자화전자,KOSPI,22100,18909,16.87,719208
039440,에스티아이,KOSDAQ,29450,25540,15.31,744062
215600,신라젠,KOSDAQ,3355,3043,10.23,1216920
107640,한중엔시에스,KOSDAQ,51300,47500,8.0,382344
002710,TCC스틸,KOSPI,17350,16221,6.96,215923
060980,HL홀딩스,KOSPI,49000,45782,7.03,113071
043260,성호전자,KOSDAQ,6250,2815,122.02,20919351
042520,한스바이오메드,KOSDAQ,32650,30820,5.94,851383
114190,강원에너지,KOSDAQ,16630,15465,7.53,3696003
079940,가비아,KOSDAQ,32250,30277,6.51,40079
041830,인바디,KOSDAQ,31550,29585,6.64,47561
092200,디아이씨,KOSPI,10900,8380,30.07,4651941
475400,씨메스,KOSDAQ,35250,31215,12.93,670664
033790,피노,KOSDAQ,6120,4683,30.67,348101
304100,솔트룩스,KOSDAQ,31600,29620,6.68,262713
001530,DI동일,KOSPI,20400,18666,9.29,82176
006110,삼아알미늄,KOSPI,27300,24110,13.23,390007
108860,셀바스AI,KOSDAQ,14870,12549,18.5,6506952
094360,칩스앤미디어,KOSDAQ,18720,15625,19.81,534233
338840,와이바이오로직스,KOSDAQ,26050,24577,5.99,349609
122640,예스티,KOSDAQ,19200,17339,10.73,77422
082920,비츠로셀,KOSDAQ,17820,15450,15.34,992064
117730,티로보틱스,KOSDAQ,18060,16293,10.85,861408
084010,대한제강,KOSPI,16950,16056,5.56,16701
200710,에이디테크놀로지,KOSDAQ,28850,26112,10.48,192988
348340,뉴로메카,KOSDAQ,33700,29097,15.82,254321
067080,대화제약,KOSDAQ,21100,17783,18.65,556306
008060,대덕,KOSPI,11340,10513,7.87,122089
304360,에스바이오메딕스,KOSDAQ,32000,27450,16.58,100024
046890,서울반도체,KOSDAQ GLOBAL,6620,6301,5.05,92778
194370,제이에스코퍼레이션,KOSPI,12790,11360,12.58,384486
441270,파인엠텍,KOSDAQ,9700,9099,6.6,2683067
357550,석경에이티,KOSDAQ,66800,53627,24.56,80136
105840,우진,KOSPI,18240,15747,15.83,2374743
376270,에이치이엠파마,KOSDAQ,50300,42530,18.27,76333
009155,삼성전기우,KOSPI,122300,110480,10.7,32544
448900,한국피아이엠,KOSDAQ,57800,49482,16.81,302582
472850,폰드그룹,KOSDAQ,10690,8421,26.94,482719
488280,에스투더블유,KOSDAQ,31550,25980,21.44,444946
001820,삼화콘덴서,KOSPI,32850,30870,6.41,141748
005720,넥센,KOSPI,6250,5898,5.97,29224
